timestamp,metric_name,labels,value
"1775340566","ttft_p50_ms","","NaN"
"1775340581","ttft_p50_ms","","300"
"1775340596","ttft_p50_ms","","325"
"1775340611","ttft_p50_ms","","336.5384615384615"
"1775340626","ttft_p50_ms","","354.16666666666663"
"1775340641","ttft_p50_ms","","347.22222222222223"
"1775340656","ttft_p50_ms","","333.33333333333326"
"1775340671","ttft_p50_ms","","437.50000000000006"
"1775340686","ttft_p50_ms","","487.50000000000006"
"1775340701","ttft_p50_ms","","520.8333333333333"
"1775340716","ttft_p50_ms","","468.75"
"1775340731","ttft_p50_ms","","454.5454545454545"
"1775340746","ttft_p50_ms","","420.45454545454544"
"1775340761","ttft_p50_ms","","416.66666666666674"
"1775340776","ttft_p50_ms","","386.3636363636364"
"1775340791","ttft_p50_ms","","386.3636363636364"
"1775340806","ttft_p50_ms","","406.25"
"1775340821","ttft_p50_ms","","406.25"
"1775340836","ttft_p50_ms","","479.16666666666663"
"1775340851","ttft_p50_ms","","449.99999999999994"
"1775340866","ttft_p50_ms","","458.3333333333333"
"1775340881","ttft_p50_ms","","475"
"1775340896","ttft_p50_ms","","604.1666666666666"
"1775340911","ttft_p50_ms","","587.5"
"1775340926","ttft_p50_ms","","579.5454545454546"
"1775340941","ttft_p50_ms","","515.625"
"1775340956","ttft_p50_ms","","531.25"
"1775340971","ttft_p50_ms","","375"
"1775340986","ttft_p50_ms","","NaN"
"1775341001","ttft_p50_ms","","NaN"
"1775341016","ttft_p50_ms","","NaN"
"1775341031","ttft_p50_ms","","NaN"
"1775341046","ttft_p50_ms","","NaN"
"1775341061","ttft_p50_ms","","NaN"
"1775341076","ttft_p50_ms","","NaN"
"1775341091","ttft_p50_ms","","NaN"
"1775341106","ttft_p50_ms","","NaN"
"1775340566","ttft_p95_ms","","NaN"
"1775340581","ttft_p95_ms","","624.9999999999999"
"1775340596","ttft_p95_ms","","637.5"
"1775340611","ttft_p95_ms","","818.7499999999995"
"1775340626","ttft_p95_ms","","799.9999999999997"
"1775340641","ttft_p95_ms","","818.7499999999995"
"1775340656","ttft_p95_ms","","699.9999999999999"
"1775340671","ttft_p95_ms","","718.75"
"1775340686","ttft_p95_ms","","723.8636363636364"
"1775340701","ttft_p95_ms","","1449.9999999999998"
"1775340716","ttft_p95_ms","","1562.4999999999986"
"1775340731","ttft_p95_ms","","1674.9999999999993"
"1775340746","ttft_p95_ms","","710.4166666666666"
"1775340761","ttft_p95_ms","","712.4999999999999"
"1775340776","ttft_p95_ms","","700"
"1775340791","ttft_p95_ms","","693.75"
"1775340806","ttft_p95_ms","","706.2499999999999"
"1775340821","ttft_p95_ms","","712.4999999999999"
"1775340836","ttft_p95_ms","","723.6111111111111"
"1775340851","ttft_p95_ms","","720.8333333333334"
"1775340866","ttft_p95_ms","","720"
"1775340881","ttft_p95_ms","","721.8749999999999"
"1775340896","ttft_p95_ms","","4187.499999999998"
"1775340911","ttft_p95_ms","","3812.499999999999"
"1775340926","ttft_p95_ms","","3687.499999999998"
"1775340941","ttft_p95_ms","","726.5625"
"1775340956","ttft_p95_ms","","728.125"
"1775340971","ttft_p95_ms","","487.5"
"1775340986","ttft_p95_ms","","NaN"
"1775341001","ttft_p95_ms","","NaN"
"1775341016","ttft_p95_ms","","NaN"
"1775341031","ttft_p95_ms","","NaN"
"1775341046","ttft_p95_ms","","NaN"
"1775341061","ttft_p95_ms","","NaN"
"1775341076","ttft_p95_ms","","NaN"
"1775341091","ttft_p95_ms","","NaN"
"1775341106","ttft_p95_ms","","NaN"
"1775340566","ttft_p99_ms","","NaN"
"1775340581","ttft_p99_ms","","724.9999999999999"
"1775340596","ttft_p99_ms","","727.5"
"1775340611","ttft_p99_ms","","963.7499999999998"
"1775340626","ttft_p99_ms","","960.0000000000002"
"1775340641","ttft_p99_ms","","963.7499999999998"
"1775340656","ttft_p99_ms","","740"
"1775340671","ttft_p99_ms","","743.7499999999999"
"1775340686","ttft_p99_ms","","744.7727272727274"
"1775340701","ttft_p99_ms","","2289.999999999999"
"1775340716","ttft_p99_ms","","2312.5000000000005"
"1775340731","ttft_p99_ms","","2335"
"1775340746","ttft_p99_ms","","742.0833333333334"
"1775340761","ttft_p99_ms","","742.4999999999999"
"1775340776","ttft_p99_ms","","740"
"1775340791","ttft_p99_ms","","738.75"
"1775340806","ttft_p99_ms","","741.25"
"1775340821","ttft_p99_ms","","742.4999999999999"
"1775340836","ttft_p99_ms","","744.7222222222222"
"1775340851","ttft_p99_ms","","744.1666666666666"
"1775340866","ttft_p99_ms","","744"
"1775340881","ttft_p99_ms","","744.375"
