timestamp,metric_name,labels,value
"1778566723","ttft_p50_ms","","NaN"
"1778566738","ttft_p50_ms","","NaN"
"1778566753","ttft_p50_ms","","656.25"
"1778566768","ttft_p50_ms","","589.2857142857143"
"1778566783","ttft_p50_ms","","618.9024390243902"
"1778566798","ttft_p50_ms","","648.4375"
"1778566813","ttft_p50_ms","","737.5"
"1778566828","ttft_p50_ms","","1075"
"1778566843","ttft_p50_ms","","NaN"
"1778566858","ttft_p50_ms","","NaN"
"1778566873","ttft_p50_ms","","NaN"
"1778566888","ttft_p50_ms","","NaN"
"1778566903","ttft_p50_ms","","NaN"
"1778566918","ttft_p50_ms","","NaN"
"1778566933","ttft_p50_ms","","NaN"
"1778566948","ttft_p50_ms","","NaN"
"1778566963","ttft_p50_ms","","NaN"
"1778566978","ttft_p50_ms","","NaN"
"1778566993","ttft_p50_ms","","NaN"
"1778567008","ttft_p50_ms","","NaN"
"1778567023","ttft_p50_ms","","NaN"
"1778567038","ttft_p50_ms","","NaN"
"1778567053","ttft_p50_ms","","NaN"
"1778567068","ttft_p50_ms","","NaN"
"1778567083","ttft_p50_ms","","NaN"
"1778567098","ttft_p50_ms","","NaN"
"1778567113","ttft_p50_ms","","400000"
"1778567128","ttft_p50_ms","","400000"
"1778567143","ttft_p50_ms","","400000"
"1778567158","ttft_p50_ms","","400000"
"1778567173","ttft_p50_ms","","400000"
"1778567188","ttft_p50_ms","","400000"
"1778567203","ttft_p50_ms","","400000"
"1778567218","ttft_p50_ms","","NaN"
"1778567233","ttft_p50_ms","","NaN"
"1778567248","ttft_p50_ms","","400000"
"1778567263","ttft_p50_ms","","400000"
"1778566723","ttft_p95_ms","","NaN"
"1778566738","ttft_p95_ms","","NaN"
"1778566753","ttft_p95_ms","","1699.9999999999998"
"1778566768","ttft_p95_ms","","1540.0000000000002"
"1778566783","ttft_p95_ms","","2024.9999999999995"
"1778566798","ttft_p95_ms","","2220.454545454545"
"1778566813","ttft_p95_ms","","2312.5"
"1778566828","ttft_p95_ms","","2357.5"
"1778566843","ttft_p95_ms","","NaN"
"1778566858","ttft_p95_ms","","NaN"
"1778566873","ttft_p95_ms","","NaN"
"1778566888","ttft_p95_ms","","NaN"
"1778566903","ttft_p95_ms","","NaN"
"1778566918","ttft_p95_ms","","NaN"
"1778566933","ttft_p95_ms","","NaN"
"1778566948","ttft_p95_ms","","NaN"
"1778566963","ttft_p95_ms","","NaN"
"1778566978","ttft_p95_ms","","NaN"
"1778566993","ttft_p95_ms","","NaN"
"1778567008","ttft_p95_ms","","NaN"
"1778567023","ttft_p95_ms","","NaN"
"1778567038","ttft_p95_ms","","NaN"
"1778567053","ttft_p95_ms","","NaN"
"1778567068","ttft_p95_ms","","NaN"
"1778567083","ttft_p95_ms","","NaN"
"1778567098","ttft_p95_ms","","NaN"
"1778567113","ttft_p95_ms","","616000"
"1778567128","ttft_p95_ms","","616000"
"1778567143","ttft_p95_ms","","616000"
"1778567158","ttft_p95_ms","","616000"
"1778567173","ttft_p95_ms","","616000"
"1778567188","ttft_p95_ms","","616000"
"1778567203","ttft_p95_ms","","616000"
"1778567218","ttft_p95_ms","","NaN"
"1778567233","ttft_p95_ms","","NaN"
"1778567248","ttft_p95_ms","","616000"
"1778567263","ttft_p95_ms","","616000"
"1778566723","ttft_p99_ms","","NaN"
"1778566738","ttft_p99_ms","","NaN"
"1778566753","ttft_p99_ms","","2340.000000000001"
"1778566768","ttft_p99_ms","","2308.000000000002"
"1778566783","ttft_p99_ms","","2404.999999999999"
"1778566798","ttft_p99_ms","","2444.0909090909095"
"1778566813","ttft_p99_ms","","2462.5000000000005"
"1778566828","ttft_p99_ms","","2471.5"
"1778566843","ttft_p99_ms","","NaN"
"1778566858","ttft_p99_ms","","NaN"
"1778566873","ttft_p99_ms","","NaN"
"1778566888","ttft_p99_ms","","NaN"
"1778566903","ttft_p99_ms","","NaN"
"1778566918","ttft_p99_ms","","NaN"
"1778566933","ttft_p99_ms","","NaN"
"1778566948","ttft_p99_ms","","NaN"
"1778566963","ttft_p99_ms","","NaN"
"1778566978","ttft_p99_ms","","NaN"
"1778566993","ttft_p99_ms","","NaN"
"1778567008","ttft_p99_ms","","NaN"
"1778567023","ttft_p99_ms","","NaN"
"1778567038","ttft_p99_ms","","NaN"
"1778567053","ttft_p99_ms","","NaN"
"1778567068","ttft_p99_ms","","NaN"
"1778567083","ttft_p99_ms","","NaN"
"1778567098","ttft_p99_ms","","NaN"
"1778567113","ttft_p99_ms","","635200"
"1778567128","ttft_p99_ms","","635200"
"1778567143","ttft_p99_ms","","635200"
"1778567158","ttft_p99_ms","","635200"
"1778567173","ttft_p99_ms","","635200"
"1778567188","ttft_p99_ms","","635200"
"1778567203","ttft_p99_ms","","635200"
"1778567218","ttft_p99_ms","","NaN"
"1778567233","ttft_p99_ms","","NaN"
"1778567248","ttft_p99_ms","","635200"
"1778567263","ttft_p99_ms","","635200"
"1778566723","itl_p50_ms","","125"
"1778566738","itl_p50_ms","","125"
"1778566753","itl_p50_ms","","75.98122866894197"
"1778566768","itl_p50_ms","","113.05637982195846"
"1778566783","itl_p50_ms","","135.45006165228114"
"1778566798","itl_p50_ms","","204.15650406504065"
"1778566813","itl_p50_ms","","232.36857945425362"
"1778566828","itl_p50_ms","","230.9875524895021"
"1778566843","itl_p50_ms","","218.78646901119697"
"1778566858","itl_p50_ms","","205.64705882352942"
"1778566873","itl_p50_ms","","191.08743369306748"
"1778566888","itl_p50_ms","","181.3802677620569"
"1778566903","itl_p50_ms","","176.02985944685537"
"1778566918","itl_p50_ms","","175.5053727333781"
"1778566933","itl_p50_ms","","175.11674665974834"
"1778566948","itl_p50_ms","","175.23495266394858"
"1778566963","itl_p50_ms","","175.22658075479714"
"1778566978","itl_p50_ms","","175.35790843668659"
"1778566993","itl_p50_ms","","175.248716936439"
"1778567008","itl_p50_ms","","175.1290530730763"
"1778567023","itl_p50_ms","","175.23648648648648"
"1778567038","itl_p50_ms","","175.5000463005834"
"1778567053","itl_p50_ms","","175.64554549785612"
"1778567068","itl_p50_ms","","175.496796359922"
"1778567083","itl_p50_ms","","175.34909412284577"
"1778567098","itl_p50_ms","","175.4766399244927"
"1778567113","itl_p50_ms","","175.49751243781094"
